Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C185 Postcode 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2031,2031,16550,Randwick (C),1.0,100.0,,,,,,,
2032,2032,11100,Botany Bay (C),0.075631,7.5631046,,,,,,,
2032,2032,16550,Randwick (C),0.924369,92.4368954,,,,,,,
2033,2033,16550,Randwick (C),0.9984851,99.8485054,,,,,,,
2033,2033,17200,Sydney (C),0.0015149,0.1514946,,,,,,,
2034,2034,16550,Randwick (C),1.0,100.0,,,,,,,
2035,2035,11100,Botany Bay (C),0.1094433,10.944327,,,,,,,
2035,2035,16550,Randwick (C),0.8905567,89.055673,,,,,,,
2036,2036,11100,Botany Bay (C),0.2145049,21.4504861,,,,,,,
2036,2036,16550,Randwick (C),0.7854951,78.5495139,,,,,,,
2037,2037,17200,Sydney (C),1.0,100.0,,,,,,,
2038,2038,14800,Leichhardt (A),0.9895244,98.9524441,,,,,,,
2038,2038,17200,Sydney (C),0.0104756,1.0475559,,,,,,,
2039,2039,14800,Leichhardt (A),1.0,100.0,,,,,,,
2040,2040,14800,Leichhardt (A),0.9999328,99.9932841,,,,,,,
2041,2041,14800,Leichhardt (A),1.0,100.0,,,,,,,
2042,2042,15200,Marrickville (A),0.6098446,60.9844649,,,,,,,
2042,2042,17200,Sydney (C),0.3901554,39.0155351,,,,,,,
2043,2043,17200,Sydney (C),1.0,100.0,,,,,,,
2044,2044,15200,Marrickville (A),0.9973827,99.7382675,,,,,,,
2044,2044,17200,Sydney (C),0.0026173,0.2617325,,,,,,,
2045,2045,10150,Ashfield (A),0.9961685,99.6168505,,,,,,,
2045,2045,14800,Leichhardt (A),0.0038315,0.3831495,,,,,,,
2046,2046,11520,Canada Bay (A),1.0,99.9999993,,,,,,,
2047,2047,11520,Canada Bay (A),1.0,100.0,,,,,,,
2048,2048,14800,Leichhardt (A),0.0005228,0.0522846,,,,,,,
2048,2048,15200,Marrickville (A),0.9994772,99.9477154,,,,,,,
2049,2049,15200,Marrickville (A),1.0,100.0,,,,,,,
2050,2050,15200,Marrickville (A),0.4017046,40.1704588,,,,,,,
2050,2050,17200,Sydney (C),0.5982954,59.8295412,,,,,,,
2052,2052,16550,Randwick (C),1.0,100.0,,,,,,,
2060,2060,15950,North Sydney (A),1.0,100.0,,,,,,,
2061,2061,15950,North Sydney (A),1.0,100.0,,,,,,,
2062,2062,15950,North Sydney (A),1.0,100.0,,,,,,,
2063,2063,18250,Willoughby (C),1.0,100.0,,,,,,,
2064,2064,18250,Willoughby (C),1.0,100.0,,,,,,,
2065,2065,14700,Lane Cove (A),0.2313391,23.1339128,,,,,,,
2065,2065,15950,North Sydney (A),0.4905261,49.0526068,,,,,,,
2065,2065,18250,Willoughby (C),0.2781348,27.8134803,,,,,,,
2066,2066,14700,Lane Cove (A),0.9144048,91.4404839,,,,,,,
2066,2066,18250,Willoughby (C),0.0855952,8.5595161,,,,,,,
2067,2067,16700,Ryde (C),0.0145293,1.4529297,,,,,,,
2067,2067,18250,Willoughby (C),0.9854707,98.5470703,,,,,,,
2068,2068,18250,Willoughby (C),1.0,100.0,,,,,,,
2069,2069,14500,Ku-ring-gai (A),0.6395794,63.9579406,,,,,,,
2069,2069,18250,Willoughby (C),0.3604206,36.0420594,,,,,,,
2070,2070,14500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2071,2071,14500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2072,2072,14500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2073,2073,14500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2074,2074,14500,Ku-ring-gai (A),1.0,99.9999995,,,,,,,
2075,2075,14500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2076,2076,14000,Hornsby (A),0.3939711,39.3971096,,,,,,,
2076,2076,14500,Ku-ring-gai (A),0.6060289,60.6028904,,,,,,,
2077,2077,14000,Hornsby (A),1.0,100.0,,,,,,,
2079,2079,14000,Hornsby (A),1.0,100.0,,,,,,,
2080,2080,14000,Hornsby (A),1.0,100.0,,,,,,,
2081,2081,14000,Hornsby (A),1.0,100.0,,,,,,,
2082,2082,14000,Hornsby (A),1.0,100.0,,,,,,,
2083,2083,13100,Gosford (C),0.3247561,32.475607,,,,,,,
2083,2083,14000,Hornsby (A),0.6752439,67.524393,,,,,,,
2084,2084,16370,Pittwater (A),0.0043358,0.4335843,,,,,,,
2084,2084,18000,Warringah (A),0.9956642,99.5664157,,,,,,,
2085,2085,18000,Warringah (A),1.0,99.9999987,,,,,,,
2086,2086,18000,Warringah (A),1.0,100.0,,,,,,,
2087,2087,18000,Warringah (A),1.0,100.0,,,,,,,
2088,2088,15350,Mosman (A),1.0,100.0,,,,,,,
2089,2089,15950,North Sydney (A),1.0,100.0,,,,,,,
2090,2090,15950,North Sydney (A),1.0,100.0,,,,,,,
2092,2092,15150,Manly (A),1.0,100.0,,,,,,,
2093,2093,15150,Manly (A),0.5764769,57.6476901,,,,,,,
2093,2093,18000,Warringah (A),0.4235231,42.3523099,,,,,,,
2094,2094,15150,Manly (A),1.0,100.0,,,,,,,
2095,2095,15150,Manly (A),1.0,100.0,,,,,,,
2096,2096,18000,Warringah (A),1.0,100.0,,,,,,,
2097,2097,18000,Warringah (A),1.0,100.0,,,,,,,
2099,2099,18000,Warringah (A),1.0,100.0,,,,,,,
2100,2100,18000,Warringah (A),1.0,100.0,,,,,,,
2101,2101,16370,Pittwater (A),0.5854513,58.5451316,,,,,,,
2101,2101,18000,Warringah (A),0.4145487,41.4548684,,,,,,,
2102,2102,16370,Pittwater (A),1.0,100.0,,,,,,,
2103,2103,16370,Pittwater (A),1.0,100.0,,,,,,,
2104,2104,16370,Pittwater (A),1.0,100.0,,,,,,,
2105,2105,16370,Pittwater (A),1.0,100.0,,,,,,,
2106,2106,16370,Pittwater (A),1.0,100.0,,,,,,,
2107,2107,16370,Pittwater (A),1.0,100.0,,,,,,,
2108,2108,16370,Pittwater (A),1.0,100.0,,,,,,,
2109,2109,16700,Ryde (C),1.0,100.0,,,,,,,
2110,2110,14100,Hunters Hill (A),0.9991004,99.9100369,,,,,,,
2110,2110,16700,Ryde (C),0.0008996,0.0899631,,,,,,,
2111,2111,14100,Hunters Hill (A),0.2537036,25.3703586,,,,,,,
2111,2111,16700,Ryde (C),0.7462964,74.6296414,,,,,,,
2112,2112,16700,Ryde (C),1.0,100.0,,,,,,,
2113,2113,16700,Ryde (C),1.0,100.0,,,,,,,
2114,2114,16250,Parramatta (C),0.0007655,0.0765535,,,,,,,
2114,2114,16700,Ryde (C),0.9992345,99.9234465,,,,,,,
2115,2115,16250,Parramatta (C),1.0,100.0,,,,,,,
